image_name,model,status,input_width,input_height,native_width,native_height,output_width,output_height,inference_seconds,total_seconds,output_path,error
121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.jpg,AuraSR-v2,ok,300,450,1200,1800,683,1024,1.9314,3.4764,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/AuraSR-v2/121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.png,
121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.jpg,Real-ESRGAN_x4plus,ok,300,450,1200,1800,683,1024,0.3493,2.0148,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/Real-ESRGAN_x4plus/121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.png,
121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.jpg,Swin2SR_realworld_x4,ok,300,450,1200,1800,683,1024,2.0106,3.278,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/Swin2SR_realworld_x4/121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.png,
121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.jpg,UltraSharpV2,ok,300,450,1200,1800,683,1024,13.2239,14.7014,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/UltraSharpV2/121500727-femme-d-affaires-prospère-jeune-femme-brune-intelligente-en-tenue-formelle-debout-avec-les-jambes.png,
131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.jpg,AuraSR-v2,ok,293,450,1172,1800,667,1024,1.8601,2.8963,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/AuraSR-v2/131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.png,
131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.jpg,Real-ESRGAN_x4plus,ok,293,450,1172,1800,667,1024,0.1855,1.3004,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/Real-ESRGAN_x4plus/131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.png,
131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.jpg,Swin2SR_realworld_x4,ok,293,450,1172,1800,667,1024,1.6238,3.106,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/Swin2SR_realworld_x4/131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.png,
131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.jpg,UltraSharpV2,ok,293,450,1172,1800,667,1024,13.9063,15.1871,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/UltraSharpV2/131452196-portrait-de-belle-fille-brune-avec-du-maquillage-dans-des-vêtements-de-mode.png,
164361969-photo-of-beautiful-young-girl-in-a-casual-clothes.jpg,AuraSR-v2,ok,300,450,1200,1800,683,1024,1.8648,3.5871,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/AuraSR-v2/164361969-photo-of-beautiful-young-girl-in-a-casual-clothes.png,
164361969-photo-of-beautiful-young-girl-in-a-casual-clothes.jpg,Real-ESRGAN_x4plus,ok,300,450,1200,1800,683,1024,0.1964,2.0446,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_batch_results_20260410/results/Real-ESRGAN_x4plus/164361969-photo-of-beautiful-young-girl-in-a-casual-clothes.png,
