image_name,model,status,input_width,input_height,native_width,native_height,output_width,output_height,inference_seconds,total_seconds,output_path,error
765DC106-B404-41E5-B1DF-199C5E82FABE 2.PNG,AuraSR-v2_seed7_checkboard,ok,533,800,2132,3200,682,1024,6.1163,7.1661,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/765DC106-B404-41E5-B1DF-199C5E82FABE 2.png,
7d2c7f05-ae77-41a1-948e-c179626e4568.jpg,AuraSR-v2_seed7_checkboard,ok,576,1024,2304,4096,576,1024,6.8943,7.9673,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/7d2c7f05-ae77-41a1-948e-c179626e4568.png,
depositphotos_193329662-stock-photo-young-crazy-man-satisfied-expression.jpg,AuraSR-v2_seed7_checkboard,ok,433,600,1732,2400,739,1024,3.6281,5.2666,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/depositphotos_193329662-stock-photo-young-crazy-man-satisfied-expression.png,
gettyimages-1277789459-170667a.jpg,AuraSR-v2_seed7_checkboard,ok,339,508,1356,2032,683,1024,2.2316,3.5533,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/gettyimages-1277789459-170667a.png,
gettyimages-1386178864-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,408,612,1632,2448,683,1024,3.2059,4.5593,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/gettyimages-1386178864-612x612.png,
gettyimages-1457156726-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,408,612,1632,2448,683,1024,3.2541,4.3827,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/gettyimages-1457156726-612x612.png,
gettyimages-2155141672-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,408,612,1632,2448,683,1024,3.2527,5.2432,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/gettyimages-2155141672-612x612.png,
gettyimages-2207333436-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,407,612,1628,2448,681,1024,3.2252,4.6789,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/gettyimages-2207333436-612x612.png,
istockphoto-1180106547-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,408,612,1632,2448,683,1024,3.2314,5.2765,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/istockphoto-1180106547-612x612.png,
istockphoto-1184187907-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,408,612,1632,2448,683,1024,3.2713,4.5848,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/istockphoto-1184187907-612x612.png,
istockphoto-1332517953-612x612.jpg,AuraSR-v2_seed7_checkboard,ok,418,612,1672,2448,699,1024,3.2875,4.5323,/Users/kiran/Documents/github/clients/glamify/hybrid_vto_v1/ai/tmp/low_res_aura_variants_20260410/results/AuraSR-v2_seed7_checkboard/istockphoto-1332517953-612x612.png,
