src_file,out_file,codec,src_w,src_h,out_w,out_h,resized,src_bytes,out_bytes,saved_bytes,saved_pct,psnr_db,error
d59b4890-cd3b-4863-b7d4-243fbea10610.JPG,d59b4890-cd3b-4863-b7d4-243fbea10610.jpg,JPEG,1024,1536,1024,1536,False,142364,227731,-85367,-59.96,51.684,
happy-woman-white-dress_23-2151936979.avif,,,,,,,,,,,,,cannot identify image file '/workspace/hybrid_vto_v1_latest_v1/tryon_dataset/users/happy-woman-white-dress_23-2151936979.avif'
image.png,image.jpg,JPEG,576,1024,576,1024,False,662027,130223,531804,80.33,46.037,
pexels-2997777-4838042.jpg,pexels-2997777-4838042.jpg,JPEG,2133,3200,1365,2048,True,724933,807528,-82595,-11.39,43.439,
pexels-38711587-7208431.jpg,pexels-38711587-7208431.jpg,JPEG,4160,6240,1365,2048,True,1372263,378920,993343,72.39,45.688,
pexels-48518676-7572653.jpg,pexels-48518676-7572653.jpg,JPEG,3794,5665,1372,2048,True,1864934,550083,1314851,70.5,43.871,
pexels-_ofarias-g-530112232-16986947.jpg,pexels-_ofarias-g-530112232-16986947.jpg,JPEG,3456,5184,1365,2048,True,2320882,771930,1548952,66.74,40.863,
pexels-adhen-wijaya-kusuma-229756871-12493913.jpg,pexels-adhen-wijaya-kusuma-229756871-12493913.jpg,JPEG,3448,5168,1366,2048,True,915350,460980,454370,49.64,45.312,
pexels-alan-garzon-180446366-11201615.jpg,pexels-alan-garzon-180446366-11201615.jpg,JPEG,4000,6000,1365,2048,True,1395076,710480,684596,49.07,43.202,
pexels-alan-garzon-180446366-11201618.jpg,pexels-alan-garzon-180446366-11201618.jpg,JPEG,4000,6000,1365,2048,True,1332820,733959,598861,44.93,43.39,
pexels-alan-garzon-180446366-11201761.jpg,pexels-alan-garzon-180446366-11201761.jpg,JPEG,4000,6000,1365,2048,True,1558010,752051,805959,51.73,42.845,
pexels-aminnaderloei-31897926.jpg,pexels-aminnaderloei-31897926.jpg,JPEG,4000,6000,1365,2048,True,1365103,584799,780304,57.16,42.919,
pexels-amit-chowdhury-2402860-11796004.jpg,pexels-amit-chowdhury-2402860-11796004.jpg,JPEG,3782,5673,1365,2048,True,1436908,754659,682249,47.48,43.145,
pexels-andrea-musto-135941147-23995927.jpg,pexels-andrea-musto-135941147-23995927.jpg,JPEG,2362,3543,1365,2048,True,367263,377607,-10344,-2.82,46.962,
pexels-angela-chacon-140940805-15536313.jpg,pexels-angela-chacon-140940805-15536313.jpg,JPEG,4000,6000,1365,2048,True,1581985,691881,890104,56.27,43.561,
pexels-asio-9688592.jpg,pexels-asio-9688592.jpg,JPEG,2048,3072,1365,2048,True,387139,505466,-118327,-30.56,45.374,
pexels-bartosz-olzewski-298756944-13312741.jpg,pexels-bartosz-olzewski-298756944-13312741.jpg,JPEG,2435,3246,1536,2048,True,1597921,1515546,82375,5.16,37.353,
pexels-bgcortez-17834302.jpg,pexels-bgcortez-17834302.jpg,JPEG,2000,3000,1365,2048,True,835625,925524,-89899,-10.76,40.253,
pexels-breno-cardoso-149064345-13684160.jpg,pexels-breno-cardoso-149064345-13684160.jpg,JPEG,4032,6048,1365,2048,True,3607838,1094905,2512933,69.65,38.734,
pexels-breno-cardoso-149064345-15728306.jpg,pexels-breno-cardoso-149064345-15728306.jpg,JPEG,3298,4948,1365,2048,True,2108450,925325,1183125,56.11,40.05,
pexels-breno-cardoso-149064345-17110661.jpg,pexels-breno-cardoso-149064345-17110661.jpg,JPEG,4160,6240,1365,2048,True,1719176,728087,991089,57.65,42.234,
pexels-bruno-arbigaus-gritten-2155171268-34216114.jpg,pexels-bruno-arbigaus-gritten-2155171268-34216114.jpg,JPEG,4000,6000,1365,2048,True,2184508,668413,1516095,69.4,42.672,
pexels-caio-mantovani-97605853-13919886.jpg,pexels-caio-mantovani-97605853-13919886.jpg,JPEG,4160,6240,1365,2048,True,3704437,795104,2909333,78.54,40.089,
pexels-caio-mantovani-97605853-14097802.jpg,pexels-caio-mantovani-97605853-14097802.jpg,JPEG,4160,6240,1365,2048,True,2884149,766942,2117207,73.41,41.043,
pexels-carolina-101603542-9412244.jpg,pexels-carolina-101603542-9412244.jpg,JPEG,2896,4344,1365,2048,True,1067435,685124,382311,35.82,42.627,
pexels-cesar-o-neill-26650613-33463134.jpg,pexels-cesar-o-neill-26650613-33463134.jpg,JPEG,3601,5419,1361,2048,True,1818454,989455,828999,45.59,40.789,
pexels-cesar-o-neill-26650613-33800253.jpg,pexels-cesar-o-neill-26650613-33800253.jpg,JPEG,4000,6000,1365,2048,True,1597027,710278,886749,55.52,42.926,
pexels-colordragon-24813292.jpg,pexels-colordragon-24813292.jpg,JPEG,4000,6000,1365,2048,True,4735039,1190083,3544956,74.87,38.08,
pexels-colordragon-24813296.jpg,pexels-colordragon-24813296.jpg,JPEG,4000,6000,1365,2048,True,3799512,1116581,2682931,70.61,38.831,
pexels-conejodepapel-17392599.jpg,pexels-conejodepapel-17392599.jpg,JPEG,4000,6000,1365,2048,True,2055287,753097,1302190,63.36,41.922,
pexels-cristian-rojas-10041266.jpg,pexels-cristian-rojas-10041266.jpg,JPEG,2648,3965,1368,2048,True,594774,465213,129561,21.78,45.636,
pexels-cristian-rojas-7535460.jpg,pexels-cristian-rojas-7535460.jpg,JPEG,2532,3791,1368,2048,True,1008854,751392,257462,25.52,41.455,
pexels-dan-borges-1755177.jpg,pexels-dan-borges-1755177.jpg,JPEG,3171,4756,1365,2048,True,2473719,905877,1567842,63.38,39.294,
pexels-daniel-duarte-270529097-13098732.jpg,pexels-daniel-duarte-270529097-13098732.jpg,JPEG,3728,4660,1638,2048,True,860728,574323,286405,33.27,44.901,
pexels-davincidelasfotos-28480020.jpg,pexels-davincidelasfotos-28480020.jpg,JPEG,3604,5407,1365,2048,True,1409179,693942,715237,50.76,42.345,
pexels-davincidelasfotos-28714398.jpg,pexels-davincidelasfotos-28714398.jpg,JPEG,3702,5553,1365,2048,True,1720346,661355,1058991,61.56,42.45,
pexels-davincidelasfotos-28714525.jpg,pexels-davincidelasfotos-28714525.jpg,JPEG,3984,5976,1365,2048,True,1568178,560120,1008058,64.28,43.562,
pexels-diana-reyes-227887231-34035163.jpg,pexels-diana-reyes-227887231-34035163.jpg,JPEG,3806,5709,1365,2048,True,1753776,766192,987584,56.31,42.335,
pexels-dinielle-de-veyra-2610843-4195089.jpg,pexels-dinielle-de-veyra-2610843-4195089.jpg,JPEG,3448,5168,1366,2048,True,1250321,712512,537809,43.01,42.065,
pexels-el-gringo-photo-116752370-10675485.jpg,pexels-el-gringo-photo-116752370-10675485.jpg,JPEG,4000,6000,1365,2048,True,2397133,839355,1557778,64.99,40.253,
pexels-elchinoportrait-20471162.jpg,pexels-elchinoportrait-20471162.jpg,JPEG,2000,3000,1365,2048,True,901679,1090401,-188722,-20.93,40.874,
pexels-felix-young-449360607-30690396.jpg,pexels-felix-young-449360607-30690396.jpg,JPEG,2008,3008,1367,2048,True,918241,1105274,-187033,-20.37,40.855,
pexels-gaurav_-ranjitkar-3554799-7369454.jpg,pexels-gaurav_-ranjitkar-3554799-7369454.jpg,JPEG,2216,3936,1153,2048,True,946919,726214,220705,23.31,42.768,
pexels-godric-19483672.jpg,pexels-godric-19483672.jpg,JPEG,3259,5177,1289,2048,True,1294674,719766,574908,44.41,42.645,
pexels-heitorverdifotos-4118738.jpg,pexels-heitorverdifotos-4118738.jpg,JPEG,3456,5184,1365,2048,True,1735479,719746,1015733,58.53,41.464,
pexels-high-rollick-studio-553091901-17471951.jpg,pexels-high-rollick-studio-553091901-17471951.jpg,JPEG,4160,6240,1365,2048,True,1250889,522876,728013,58.2,44.532,
pexels-high-rollick-studio-553091901-32504521.jpg,pexels-high-rollick-studio-553091901-32504521.jpg,JPEG,4160,6240,1365,2048,True,2503036,889361,1613675,64.47,40.921,
pexels-hson-4603385.jpg,pexels-hson-4603385.jpg,JPEG,4160,6240,1365,2048,True,2754360,863629,1890731,68.65,40.895,
pexels-ionela-mat-268382825-32514275.jpg,pexels-ionela-mat-268382825-32514275.jpg,JPEG,4000,6000,1365,2048,True,2209574,469642,1739932,78.75,43.433,
pexels-israelzin-7644658.jpg,pexels-israelzin-7644658.jpg,JPEG,3456,5184,1365,2048,True,2837211,1287515,1549696,54.62,38.47,
pexels-israwmx-19899310.jpg,pexels-israwmx-19899310.jpg,JPEG,3998,6009,1363,2048,True,1384546,587016,797530,57.6,44.306,
pexels-israwmx-19899329.jpg,pexels-israwmx-19899329.jpg,JPEG,4838,3997,2048,1692,True,1149952,689630,460322,40.03,44.52,
pexels-israwmx-28386385.jpg,pexels-israwmx-28386385.jpg,JPEG,3989,5996,1362,2048,True,1388548,663852,724696,52.19,44.702,
pexels-jeff-denlea-721292-5802945.jpg,pexels-jeff-denlea-721292-5802945.jpg,JPEG,3457,5185,1365,2048,True,1881868,716417,1165451,61.93,40.861,
pexels-jonathan-oliveira-1317356342-27795483.jpg,pexels-jonathan-oliveira-1317356342-27795483.jpg,JPEG,3329,4993,1365,2048,True,4010573,957136,3053437,76.13,38.812,
pexels-joseilson-de-lima-616574717-23602560.jpg,pexels-joseilson-de-lima-616574717-23602560.jpg,JPEG,2916,5184,1152,2048,True,1427912,708533,719379,50.38,41.312,
pexels-juan-jesus-madrigal-herrera-1669649145-33708955.jpg,pexels-juan-jesus-madrigal-herrera-1669649145-33708955.jpg,JPEG,4672,7008,1365,2048,True,2228112,858290,1369822,61.48,42.077,
pexels-kari-alfonso-2151442665-36412439.jpg,pexels-kari-alfonso-2151442665-36412439.jpg,JPEG,3775,5663,1365,2048,True,2906147,1008033,1898114,65.31,40.296,
pexels-karina-benfica-538943838-18503494.jpg,pexels-karina-benfica-538943838-18503494.jpg,JPEG,3072,4608,1365,2048,True,905216,603692,301524,33.31,43.371,
pexels-kaweny-denyele-2151301623-31793026.jpg,pexels-kaweny-denyele-2151301623-31793026.jpg,JPEG,2704,4800,1154,2048,True,755967,503392,252575,33.41,45.075,
pexels-kushan-perera-95408363-13953101.jpg,pexels-kushan-perera-95408363-13953101.jpg,JPEG,3648,5472,1365,2048,True,721924,493117,228807,31.69,45.914,
pexels-ladoo-6675408.jpg,pexels-ladoo-6675408.jpg,JPEG,3064,5456,1150,2048,True,462832,307827,155005,33.49,48.286,
